k,energy,fidelity
0,0,0.5
1,-0.183831,0.591915
2,-0.359746,0.679873
3,-0.516782,0.758391
4,-0.647886,0.823943
5,-0.750947,0.875474
6,-0.827971,0.913985
7,-0.883282,0.941641
8,-0.921828,0.960914
9,-0.948117,0.974059
10,-0.965779,0.982889
11,-0.977522,0.988761
12,-0.985277,0.992638
13,-0.990374,0.995187
14,-0.993714,0.996857
15,-0.995898,0.997949
16,-0.997325,0.998663
17,-0.998256,0.999128
18,-0.998863,0.999432
19,-0.999259,0.99963
20,-0.999517,0.999759
21,-0.999685,0.999843
22,-0.999795,0.999898
23,-0.999866,0.999933
24,-0.999913,0.999957
25,-0.999943,0.999972
26,-0.999963,0.999982
27,-0.999976,0.999988
28,-0.999984,0.999992
29,-0.99999,0.999995
30,-0.999993,0.999997
31,-0.999996,0.999998
32,-0.999997,0.999999
33,-0.999998,0.999999
34,-0.999999,0.999999
35,-0.999999,1
36,-0.999999,1
37,-1,1
38,-1,1
39,-1,1
40,-1,1
41,-1,1
42,-1,1
43,-1,1
44,-1,1
45,-1,1
46,-1,1
47,-1,1
48,-1,1
49,-1,1
