g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,xi_transfer,m_transfer,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,1,0.1106193771793,0.1106193771793,-2.2016600047035,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,2,0.10955763560471,0.10955763560471,-2.2113045156461,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,3,0.10817912243376,0.10817912243376,-2.2239668846649,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,4,0.1066467349474,0.1066467349474,-2.2382334491851,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,5,0.10506256900792,0.10506256900792,-2.2531992109862,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,6,0.10348383160063,0.10348383160063,-2.2683398948988,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,7,0.10194081961513,0.10194081961513,-2.2833628339306,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,8,0.10044599681404,0.10044599681404,-2.2981350410386,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,9,0.099006918570367,0.099006918570367,-2.3125655467402,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,10,0.097630269788117,0.097630269788117,-2.3265676923753,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,11,0.096304984065457,0.096304984065457,-2.3402352059051,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,12,0.095031049551596,0.095031049551596,-2.3535516033961,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,13,0.093803436698171,0.093803436698171,-2.3665537850679,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,14,0.092618196080499,0.092618196080499,-2.3792696546848,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,15,0.091466978571597,0.091466978571597,-2.391777261765,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,16,0.090348290966161,0.090348290966161,-2.4040831778266,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,17,0.089260430315763,0.089260430315763,-2.4161969988677,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,18,0.088196990760241,0.088196990760241,-2.4281824349161,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,19,0.087153853541586,0.087153853541586,-2.440080290649,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,20,0.086136223750394,0.086136223750394,-2.4518252388312,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,21,0.08513407223006,0.08513407223006,-2.4635279448014,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,22,0.08415146116084,0.08415146116084,-2.4751369947309,1,160
