g,N,E0,E1,gap,xi_gap,xi_corr,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.6,35,-18.598359097533,nan,nan,nan,1.260615336126,17,0,0,1,0.0021668148696635,0.0021668148696635,-6.1344969917047,1,8
0.6,35,-18.598359097533,nan,nan,nan,1.260615336126,17,0,0,2,0.00062963568850638,0.00062963568850638,-7.3703691780547,1,8
0.6,35,-18.598359097533,nan,nan,nan,1.260615336126,17,0,0,3,0.00021745809927254,0.00021745809927254,-8.4335043730172,1,8
0.6,35,-18.598359097533,nan,nan,nan,1.260615336126,17,0,0,4,8.7247523939203e-05,8.7247523939203e-05,-9.3467613762047,1,8
0.6,35,-18.598359097533,nan,nan,nan,1.260615336126,17,0,0,5,4.0341136324798e-05,4.0341136324798e-05,-10.118138857149,1,8
0.6,35,-18.598359097533,nan,nan,nan,1.260615336126,17,0,0,6,2.1277401803382e-05,2.1277401803382e-05,-10.757864996651,1,8
0.6,35,-18.598359097533,nan,nan,nan,1.260615336126,17,0,0,7,1.2415331877038e-05,1.2415331877038e-05,-11.296578407421,1,8
0.6,35,-18.598359097533,nan,nan,nan,1.260615336126,17,0,0,8,7.945767036905e-06,7.945767036905e-06,-11.742871219287,1,8
0.7,35,-11.330664560769,nan,nan,nan,1.1348211196616,17,0,0,1,0.0087124871725714,0.0087124871725714,-4.7429979751983,1,8
0.7,35,-11.330664560769,nan,nan,nan,1.1348211196616,17,0,0,2,0.0017277261722051,0.0017277261722051,-6.3609490863163,1,8
0.7,35,-11.330664560769,nan,nan,nan,1.1348211196616,17,0,0,3,0.00049100944825451,0.00049100944825451,-7.619047187474,1,8
0.7,35,-11.330664560769,nan,nan,nan,1.1348211196616,17,0,0,4,0.00018349845621386,0.00018349845621386,-8.6033043035085,1,8
0.7,35,-11.330664560769,nan,nan,nan,1.1348211196616,17,0,0,5,8.3464410971675e-05,8.3464410971675e-05,-9.3910902328714,1,8
0.7,35,-11.330664560769,nan,nan,nan,1.1348211196616,17,0,0,6,4.3279711599314e-05,4.3279711599314e-05,-10.04782658705,1,8
0.7,35,-11.330664560769,nan,nan,nan,1.1348211196616,17,0,0,7,2.4506300107755e-05,2.4506300107755e-05,-10.616580326215,1,8
0.7,35,-11.330664560769,nan,nan,nan,1.1348211196616,17,0,0,8,1.4751454726701e-05,1.4751454726701e-05,-11.124168854503,1,8
0.8,35,-6.7994857032056,nan,nan,nan,0.78951389891768,17,0,0,1,0.018535895761331,0.018535895761331,-3.9880461154473,1,8
0.8,35,-6.7994857032056,nan,nan,nan,0.78951389891768,17,0,0,2,0.0021380131464808,0.0021380131464808,-6.1478783174362,1,8
0.8,35,-6.7994857032056,nan,nan,nan,0.78951389891768,17,0,0,3,0.0004096361206143,0.0004096361206143,-7.8002413030335,1,8
0.8,35,-6.7994857032056,nan,nan,nan,0.78951389891768,17,0,0,4,0.00010799785100466,0.00010799785100466,-9.133399229143,1,8
0.8,35,-6.7994857032056,nan,nan,nan,0.78951389891768,17,0,0,5,3.4449176778348e-05,3.4449176778348e-05,-10.276025456919,1,8
0.8,35,-6.7994857032056,nan,nan,nan,0.78951389891768,17,0,0,6,1.2320059040213e-05,1.2320059040213e-05,-11.304281807645,1,8
0.8,35,-6.7994857032056,nan,nan,nan,0.78951389891768,17,0,0,7,4.7499271465089e-06,4.7499271465089e-06,-12.257381277612,1,8
0.8,35,-6.7994857032056,nan,nan,nan,0.78951389891768,17,0,0,8,1.9292538446375e-06,1.9292538446375e-06,-13.158377238796,1,8
0.9,35,-4.0686528665662,nan,nan,nan,0.5471148165139,17,0,0,1,0.023594076953803,0.023594076953803,-3.7467595749842,1,8
0.9,35,-4.0686528665662,nan,nan,nan,0.5471148165139,17,0,0,2,0.0013366565887746,0.0013366565887746,-6.6175838659303,1,8
0.9,35,-4.0686528665662,nan,nan,nan,0.5471148165139,17,0,0,3,0.00014994280908466,0.00014994280908466,-8.8052566093399,1,8
