k,Energy,Fidelity
1,0,0.77651358776653
2,1.8944928593183e-18,0.77612567446554
3,2.9156345585598e-18,0.77496269173292
4,2.6086288520498e-17,0.77302539529049
5,2.4718345704939e-16,0.77031298105661
6,2.1200099837241e-15,0.76681694167372
7,1.8779752288602e-14,0.76250290936503
8,1.6853676732879e-13,0.75725674299698
9,1.5121487466151e-12,0.75072422047211
10,1.3551062436835e-11,0.74184048435264
11,1.2090903450979e-10,0.72746536670701
12,7.8028909446033e-05,0.6985845544718
13,0.00032026816304072,0.63136759069593
