k,Energy,Fidelity
0,0,0.32515087227974
1,-0.70240025210933,0.35484675360797
2,-1.3696218271568,0.385037569725
3,-1.9979988710621,0.41542595357285
4,-2.5849545907972,0.44572161732232
5,-3.1290019236401,0.47565315690353
6,-3.6296819432405,0.50497759716478
7,-4.0874535836813,0.53348709692225
8,-4.503550709995,0.56101263937865
9,-4.8798226796012,0.58742489615174
10,-5.2185727826501,0.61263271862806
11,-5.5224059757656,0.63657985657118
12,-5.7940938257757,0.65924053776629
13,-6.0364611525503,0.68061448992351
14,-6.2522959190318,0.70072188053394
15,-6.4442816784764,0.71959852339041
16,-6.6149503980067,0.7372915761407
17,-6.7666526579821,0.75385584647426
18,-6.9015419388155,0.76935074206898
19,-7.0215697936146,0.78383784191391
20,-7.1284890222892,0.79737903111528
21,-7.22386239495,0.810035123187
22,-7.3090749364985,0.82186488827087
23,-7.3853482270157,0.83292440841005
24,-7.4537555644025,0.84326668847316
25,-7.5152371642628,0.8529414610807
26,-7.5706148359125,0.8619951342263
27,-7.6206057777263,0.87047084016798
28,-7.6658352879657,0.87840855302148
29,-7.7068482978884,0.88584525007688
30,-7.7441197110672,0.89281509814462
31,-7.7780635842374,0.89934965130078
32,-7.8090412171469,0.90547805038695
33,-7.8373682370759,0.91122721769026
34,-7.8633207720353,0.91662204254787
35,-7.8871408082675,0.92168555533464
36,-7.9090408248975,0.92643908853261
37,-7.9292077931042,0.93090242445474
38,-7.9478066202018,0.93509392979026
39,-7.9649831113747,0.93903067752737
40,-7.9808665140483,0.94272855704418
41,-7.9955717023659,0.94620237328563
42,-8.0092010521903,0.94946593599364
43,-8.0218460505786,0.95253213995481
44,-8.0335886778355,0.95541303719379
45,-8.044502595044,0.9581199019823
46,-8.0546541653758,0.96066328946467
47,-8.0641033334581,0.96305308862679
48,-8.0729043835732,0.96529857026071
49,-8.0811065944342,0.96740843050544
50,-8.0887548056684,0.96939083047663
51,-8.0958899088969,0.97125343243613
52,-8.1025492743759,0.97300343289573
53,-8.1087671225255,0.97464759299948
54,-8.114574848273,0.97619226648402
55,-8.120001304946,0.97764342547747
56,-8.1250730534393,0.97900668436303
57,-8.1298145815218,0.98028732190387
58,-8.1342484974193,0.98149030180018
59,-8.1383957011933,0.98262029182712
60,-8.1422755369124,0.98368168168343
61,-8.1459059281682,0.98467859966423
62,-8.1493034991173,0.98561492825766
63,-8.1524836829059,0.98649431875294
64,-8.1554608190726,0.98732020493749
65,-8.1582482412907,0.98809581595196
66,-8.1608583566208,0.98882418836447
67,-8.1633027172818,0.98950817751937
68,-8.1655920858056,0.99015046820982
69,-8.1677364943263,0.99075358471928
70,-8.1697452986525,0.99131990027273
71,-8.1716272276843,0.99185164593473
72,-8.1733904286677,0.9923509189888
73,-8.1750425087113,0.99281969082947
74,-8.1765905729412,0.99325981439618
75,-8.1780412596225,0.99367303117616
76,-8.1794007725364,0.99406097780143
77,-8.1806749108677,0.99442519226336
78,-8.1818690968309,0.99476711976687
79,-8.1829884012334,0.99508811824491
80,-8.1840375671565,0.9953894635524
81,-8.1850210319146,0.995672354358
82,-8.1859429474346,0.99593791675086
83,-8.1868071991858,0.99618720857834
84,-8.1876174237763,0.99642122353012
85,-8.1883770253202,0.99664089498301
86,-8.1890891906728,0.99684709962004
87,-8.1897569036176,0.99704066083669
88,-8.1903829580861,0.99722235194638
89,-8.1909699704815,0.99739289919672
90,-8.1915203911711,0.99755298460725
91,-8.1920365152093,0.99770324863907
92,-8.1925204923451,0.99784429270589
93,-8.1929743363646,0.99797668153575
94,-8.1933999338171,0.99810094539198
95,-8.1937990521656,0.9982175821616
96,-8.1941733474022,0.99832705931891
97,-8.1945243711666,0.99842981577146
98,-8.194853577399,0.99852626359533
99,-8.1951623285612,0.99861678966623
100,-8.1954519014541,0.99870175719251
101,-8.1957234926579,0.99878150715586
102,-8.1959782236224,0.99885635966514
103,-8.196217145428,0.99892661522856
104,-8.1964412432412,0.99899255594891
105,-8.196651440484,0.99905444664655
106,-8.1968486027355,0.99911253591442
107,-8.1970335413845,0.99916705710904
108,-8.1972070170484,0.99921822928143
109,-8.1973697427734,0.99926625805156
110,-8.1975223870318,0.99931133642962
111,-8.1976655765276,0.99935364558732
112,-8.1977998988236,0.99939335558234
113,-8.1979259048025,0.99943062603861
114,-8.1980441109712,0.99946560678511
115,-8.1981550016189,0.99949843845587
116,-8.1982590308388,0.99952925305317
117,-8.198356624422,0.9995581744765
