k,Energy,Fidelity
0,0,0.25
1,0.033793775814617,0.24155155604635
2,0.087229612829785,0.19743087609146
3,0.15277921708988,0.13091932382023
4,0.20917547309521,0.070822771112229
5,0.24501606600123,0.032609532594977
6,0.2632628147752,0.013503469130322
7,0.27130064697213,0.005265471243861
8,0.2745456389007,0.0019941462135784
9,0.27579407812703,0.00074712556075653
10,0.2762636880122,0.00027950569345857
11,0.27643909222454,0.00010476517275648
12,0.27650464363427,3.9352338570431e-05
13,0.27652921140032,1.4800115445179e-05
14,0.27653844158388,5.5682283137563e-06
15,0.27654191370419,2.0946442477826e-06
16,0.27654322015878,7.8774080812713e-07
17,0.27654371162985,2.9618268230991e-07
18,0.27654389645553,1.1134897441391e-07
19,0.27654396594612,4.186012690278e-08
20,0.27654399207032,1.5736991275479e-08
21,0.27654400189125,5.9163550005785e-09
22,0.27654400558335,2.22430988458e-09
23,0.27654400697138,8.3625827789717e-10
24,0.27654400749317,3.1440273520675e-10
25,0.27654400768946,1.1820378631461e-10
26,0.27654400776322,4.4440135691642e-11
27,0.27654400779095,1.6707774656731e-11
28,0.27654400780137,6.2814732168455e-12
29,0.27654400780528,2.3615893344526e-12
30,0.27654400780671,8.8786581127446e-13
31,0.27654400780733,3.3380312014375e-13
32,0.27654400780754,1.2549704948778e-13
33,0.27654400780762,4.7182034705642e-14
34,0.27654400780764,1.7738619396991e-14
35,0.27654400780765,6.669034221273e-15
36,0.27654400780764,2.5072981826764e-15
37,0.27654400780766,9.4264725771321e-16
38,0.27654400780766,3.5439887577828e-16
39,0.27654400780766,1.3324026166826e-16
40,0.27654400780766,5.0093185077799e-17
41,0.27654400780764,1.883309536282e-17
42,0.27654400780761,7.0805008732292e-18
43,0.27654400780767,2.6619988891979e-18
44,0.27654400780766,1.0008085407411e-18
45,0.27654400780766,3.7626494171266e-19
46,0.27654400780766,1.4146021852288e-19
47,0.27654400780765,5.3181993597e-20
48,0.27654400780761,1.9991758244299e-20
49,0.27654400780767,7.5174020974283e-21
50,0.27654400780767,2.8262705060976e-21
51,0.27654400780766,1.0625791389294e-21
52,0.27654400780766,3.9948861592061e-22
53,0.27654400780766,1.5017177247605e-22
54,0.27654400780765,5.6407062384843e-23
55,0.27654400780766,2.1228410105986e-23
56,0.27654400780766,7.9802416381278e-24
57,0.27654400780766,2.9996063215066e-24
58,0.27654400780765,1.1265718273378e-24
59,0.27654400780763,4.2126369882041e-25
60,0.27654400780755,1.5445694763806e-25
61,0.27654400780766,5.9918053315578e-26
62,0.27654400780766,2.2536723956307e-26
63,0.27654400780766,8.5277404598347e-27
64,0.27654400780766,3.2146328406789e-27
65,0.27654400780765,1.1158855431149e-27
66,0.27654400780761,3.6009978838683e-28
67,0.27654400780766,1.6592964991665e-28
68,0.27654400780766,6.268536042291e-29
69,0.27654400780766,2.3050299946404e-29
70,0.27654400780766,8.9950558052606e-30
71,0.27654400780765,2.6863063457308e-29
72,0.27654400780761,2.0157861318726e-28
73,0.27654400780767,3.5148221485067e-31
74,0.27654400780766,7.2607558903399e-32
75,0.27654400780766,2.1281525885479e-31
76,0.27654400780766,3.7981264433261e-30
77,0.27654400780765,3.7126536723942e-29
78,0.27654400780762,2.8154495781516e-28
79,0.27654400780753,1.9120726858444e-27
80,0.27654400780766,1.7333369499485e-33
81,0.27654400780766,3.0814879110196e-32
82,0.27654400780766,4.5914169874192e-31
83,0.27654400780765,3.2856364851246e-30
84,0.27654400780763,1.8125504485612e-29
85,0.27654400780755,9.5161161517146e-29
86,0.27654400780766,1.3096323621833e-32
87,0.27654400780766,1.7140776505046e-32
88,0.27654400780766,6.1629758220392e-32
89,0.27654400780766,9.2001673443378e-31
90,0.27654400780765,7.959675867158e-30
91,0.27654400780764,6.8256690566034e-29
92,0.27654400780766,3.0814879110196e-33
93,0.27654400780766,9.4370567274975e-33
94,0.27654400780766,2.3130418632091e-31
95,0.27654400780766,2.869635617137e-30
96,0.27654400780765,2.7801376526213e-29
97,0.27654400780761,2.3370620614755e-28
98,0.27654400780766,1.2325951644078e-32
99,0.27654400780766,1.4251881588466e-31
100,0.27654400780766,1.6054552016412e-30
