s,k,Infidelity
0.05,30,0.10138217782467
0.1,30,0.006561404054925
0.15,30,0.0005637265455305
0.2,30,6.5361379467999e-05
0.25,30,1.5917677914312e-05
0.3,30,6.8100006764826e-06
0.35,30,2.2507287470441e-06
0.4,30,8.8477312265578e-07
0.45,23,4.4749537408961e-11
0.5,20,4.9601212026573e-11
0.55,18,3.2125857529763e-11
0.6,16,3.4555025507643e-11
0.65,14,7.3565598057712e-11
0.7,15,2.7833735316563e-11
0.75,17,4.7149173454386e-11
0.8,20,6.8191452484712e-11
0.85,25,5.9062310597824e-11
0.9,30,2.3481061539599e-10
0.95,30,2.5554995564114e-08
1,30,1.9955945986805e-06
1.05,30,0.00011196243830214
