s,k,Infidelity
1,200,0.99163991485285
1.05,200,0.99523777875048
1.1,200,0.99645993436634
1.15,200,0.99524196947142
1.2,200,0.98833103401242
1.25,200,0.98480646626089
1.3,200,0.98874889262829
1.35,200,0.99290844478833
1.4,200,0.99153171443098
1.45,200,0.99338908206848
1.5,200,0.99146689536778
1.55,200,0.98963195363927
1.6,200,0.99022220765105
1.65,200,0.98959823346804
1.7,200,0.99015201169194
1.75,200,0.98803698978522
1.8,200,0.98580745603889
1.85,200,0.98530385820853
1.9,200,0.98449636517844
1.95,200,0.98586950591618
2,200,0.98724211490565
