s,k,Infidelity
0.05,100,1.1566130275753e-09
0.1,60,8.70770122674e-12
0.15,39,7.8097528444232e-12
0.2,29,4.652944696204e-12
0.25,22,9.7417629518759e-12
0.3,18,9.6804786409166e-12
0.35,16,3.0242475190789e-12
0.4,14,4.3502978996912e-12
0.45,13,4.4046988278978e-12
0.5,13,2.4640289808531e-12
0.55,13,5.5873083937286e-12
0.6,14,5.7118754170915e-12
0.65,16,3.1521452115157e-12
0.7,18,5.3259618937318e-12
0.75,21,6.5876193389158e-12
0.8,25,9.1073815156051e-12
0.85,31,9.7597485648748e-12
0.9,41,6.1348703894737e-12
0.95,56,8.2966966630238e-12
1,87,8.9126483970858e-12
1.05,100,1.8506032450905e-07
