s,k,Infidelity
0.13,83,0.00096784774082581
0.14,78,0.0008808404037085
0.15,73,0.00092704855067061
0.16,69,0.00089276439194874
0.17,65,0.00096660608276633
0.18,62,0.00090232418413416
0.19,59,0.0009198766904015
0.2,57,0.00076084445403934
0.21,54,0.00091288945038759
0.22,52,0.00086225223478753
0.23,50,0.00086424175468025
0.24,48,0.00091983481549807
0.25,47,0.00071356678429702
0.26,45,0.00085790648557682
0.27,44,0.00088936086812896
0.28,200,0.29827765409544
0.29,200,0.34927873428749
0.3,200,0.39743530042987
0.31,200,0.44302745389717
0.32,200,0.48622410690767
0.33,200,0.53712896874872
