s,k,Infidelity
0.05,100,0.0036469332860151
0.1,86,8.8252924802523e-06
0.15,57,9.5509876995026e-06
0.2,43,8.6327295768518e-06
0.25,35,6.452512494981e-06
0.3,29,6.8518767215586e-06
0.35,25,6.0146098261882e-06
0.4,22,5.2249488422529e-06
0.45,19,8.1022972109324e-06
0.5,17,8.5391558988235e-06
0.55,16,4.3599030803421e-06
0.6,14,9.5689859089809e-06
0.65,13,9.985052281003e-06
0.7,18,9.4052214749674e-06
0.75,100,0.0011867154387843
0.8,100,0.074426708675159
0.85,100,0.13119156989226
0.9,100,0.18181129018863
0.95,100,0.22726235908683
1,100,0.26832597492414
1.05,100,0.30563479097343
1.1,100,0.3397066891806
1.15,100,0.37096974422591
1.2,100,0.39978094746334
1.25,100,0.42644043804044
1.3,100,0.4512024508759
