k,Energy,Fidelity
0,0,0.25
1,-0.68672520936472,0.47140240917449
2,-1.1359941384032,0.71102879656415
3,-1.3587128033244,0.87920534681891
4,-1.4498340223488,0.95855879113585
5,-1.4818600335643,0.98671868100858
6,-1.4925743183256,0.99551237762843
7,-1.4964520076487,0.99826675493088
8,-1.4980844404883,0.99921167412705
9,-1.4988869141266,0.99958829686573
10,-1.4993284123719,0.99976510431921
11,-1.4995875546194,0.99985952693623
12,-1.4997446660394,0.99991407793432
13,-1.4998413653044,0.9999469020652
14,-1.4999012874096,0.99996703627275
15,-1.4999385318524,0.99997949448827
16,-1.4999617120114,0.99998723296726
17,-1.4999761474176,0.99999204795527
18,-1.4999851394248,0.99999504615416
19,-1.4999907413354,0.9999969136915
20,-1.4999942314485,0.99999807712588
21,-1.4999964059231,0.99999880196783
22,-1.4999977607249,0.9999992535729
23,-1.4999986048439,0.99999953494603
24,-1.499999130788,0.99999971025411
25,-1.4999994584653,0.99999981943606
26,-1.4999996623353,0.9999998871141
27,-1.499999787122,0.99999992693798
