g,E0,E1,gap
0.65,-1.2769105795034,-1.1239338233242,0.15297675617921
0.7,-0.99668883097025,-0.79884438386778,0.19784444710248
0.75,-0.77510314845571,-0.52070782239619,0.25439532605952
0.8,-0.60101491811799,-0.27788701788437,0.32312790023362
0.85,-0.46528995547221,-0.061714846123804,0.40357510934841
0.9,-0.360201915172,0.1344427296835,0.49464464485549
0.95,-0.27925672720648,0.3157541708766,0.59501089808307
1,-0.21710810122547,0.48628270087448,0.70339080209994
1.05,-0.16945160076124,0.64923198047253,0.81868358123377
1.1,-0.13288889471586,0.80712717166179,0.94001606637765
1.15,-0.10477968617682,0.96195624487823,1.066735931055
1.2,-0.08309782147542,1.1152832171574,1.1983810386328
1.25,-0.066302080184091,1.2683392272942,1.3346413074783
1.3,-0.053226635347643,1.4220952503406,1.4753218856883
1.35,-0.042992072466664,1.577319528359,1.6203116008256
1.4,-0.03493535378977,1.7346225438948,1.7695578976846
