g,E0,E1,gap
0.65,-1.2769105795035,-1.123933823377,0.15297675612645
0.7,-0.99668883097025,-0.79884438386778,0.19784444710247
0.75,-0.77510314845571,-0.52070782239619,0.25439532605951
0.8,-0.60101491811799,-0.27788701788437,0.32312790023362
0.85,-0.46528995559793,-0.061714846123806,0.40357510947413
0.9,-0.360201915172,0.13444272968349,0.49464464485549
0.95,-0.27925672720647,0.3157541708766,0.59501089808307
1,-0.21710810122547,0.48628270087447,0.70339080209994
1.05,-0.16945160127404,0.64923198047253,0.81868358174657
1.1,-0.1328888949763,0.80712717166179,0.94001606663809
1.15,-0.1047796864562,0.96195624487823,1.0667359313344
1.2,-0.08309782154108,1.1152832170081,1.1983810385492
1.25,-0.066302080205672,1.2683392272935,1.3346413074991
1.3,-0.053226635360147,1.4220952478984,1.4753218832585
1.35,-0.042992072475753,1.5773195281708,1.6203116006465
1.4,-0.034935354221652,1.7346225437976,1.7695578980192
